Date,Description,Amount,Balance,Type,Reference,Cheque No
01/01/2024,Opening Balance,50000.00,50000.00,Credit,,,
02/01/2024,UPI/501234567890@upi,5000.00,45000.00,Debit,UPI/501234567890,
03/01/2024,SALARY JAN 2024,25000.00,70000.00,Credit,TRF20240103001,
05/01/2024,UPI/987654321098@upi,1500.00,68500.00,Debit,UPI/987654321098,
08/01/2024,NEFT TRANSFER TO HDFC BANK 1234,5000.00,63500.00,Debit,NEFT230108123456,
10/01/2024,ELECTRICITY BILL PAYMENT,2500.00,61000.00,Debit,EB202401100123,
12/01/2024,RENT PAYMENT,15000.00,46000.00,Debit,RNT20240112001,
15/01/2024,UPI/555555555555@upi,750.00,45250.00,Debit,UPI/555555555555,
18/01/2024,INTEREST CREDIT,150.00,45400.00,Credit,INT20240118001,
20/01/2024,ATM WITHDRAWAL,2000.00,43400.00,Debit,ATM1234567890,
22/01/2024,FUEL STATION PAYMENT,3000.00,40400.00,Debit,FUEL20240122001,
25/01/2024,ONLINE SHOPPING,4500.00,35900.00,Debit,SHOP20240125001,
28/01/2024,UPI/111111111111@upi,2000.00,33900.00,Debit,UPI/111111111111,
30/01/2024,MOBILE RECHARGE,199.00,33701.00,Debit,REC20240130001,
01/02/2024,SALARY FEB 2024,25000.00,58701.00,Credit,TRF20240201001,
03/02/2024,IMPS TRANSFER,8000.00,50701.00,Debit,IMPS230203123456,
05/02/2024,UPI/222222222222@upi,1200.00,49501.00,Debit,UPI/222222222222,
08/02/2024,FOOD DELIVERY,850.00,48651.00,Debit,FOOD20240208001,
10/02/2024,INTERNET BILL,999.00,47652.00,Debit,NET20240210001,
12/02/2024,RENT PAYMENT,15000.00,32652.00,Debit,RNT20240212001,
15/02/2024,UPI/333333333333@upi,2500.00,30152.00,Debit,UPI/333333333333,
18/02/2024,CHEQUE DEPOSIT,25000.00,55152.00,Credit,CHQ1234567890,
20/02/2024,ATM WITHDRAWAL,3000.00,52152.00,Debit,ATM9876543210,
22/02/2024,FUEL STATION PAYMENT,4000.00,48152.00,Debit,FUEL20240222001,
25/02/2024,UPI/444444444444@upi,1800.00,46352.00,Debit,UPI/444444444444,
28/02/2024,INSURANCE PREMIUM,5000.00,41352.00,Debit,INS20240228001,
01/03/2024,SALARY MAR 2024,25000.00,66352.00,Credit,TRF20240301001,
03/03/2024,NEFT RECEIVED FROM ICICI,15000.00,81352.00,Credit,NEFT230303123456,
05/03/2024,UPI/555555555555@upi,3200.00,78152.00,Debit,UPI/555555555555,
08/03/2024,ELECTRICITY BILL PAYMENT,2800.00,75352.00,Debit,EB20240308001,
10/03/2024,RENT PAYMENT,15000.00,60352.00,Debit,RNT20240310001,
12/03/2024,UPI/666666666666@upi,950.00,59402.00,Debit,UPI/666666666666,
15/03/2024,ATM WITHDRAWAL,5000.00,54402.00,Debit,ATM5555555555,
18/03/2024,INTEREST CREDIT,175.00,54577.00,Credit,INT20240318001,
20/03/2024,FUEL STATION PAYMENT,3500.00,51077.00,Debit,FUEL20240320001,
22/03/2024,ONLINE SHOPPING,2800.00,48277.00,Debit,SHOP20240322001,
25/03/2024,UPI/777777777777@upi,1500.00,46777.00,Debit,UPI/777777777777,
28/03/2024,MOBILE RECHARGE,199.00,46578.00,Debit,REC20240328001,
30/03/2024,CREDIT CARD PAYMENT,8000.00,38578.00,Debit,CC20240330001,
